loan_amnt,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,purpose
26500.0,36.0,12.88,891.36,2,2.0,2,10.87806606028079,3
10000.0,36.0,17.27,357.88,3,10.0,1,10.915106645867501,2
11000.0,36.0,10.78,358.99,1,0.0,3,11.082157933374816,2
6000.0,36.0,9.17,191.28,1,2.0,1,11.289794413577894,8
15600.0,36.0,8.38,491.59,1,9.0,3,11.695255355062795,2
6000.0,36.0,13.67,204.11,2,10.0,3,10.518700218288165,2
6300.0,36.0,6.89,194.21,0,5.0,3,10.714439990727769,1
28875.0,36.0,17.57,1037.69,3,6.0,1,11.225256725762893,2
16000.0,36.0,9.17,510.07,1,1.0,3,11.082157933374816,1
8000.0,36.0,14.85,276.74,2,4.0,2,10.239995502805314,8
15800.0,60.0,20.99,427.36,4,1.0,3,10.584081267024454,2
18000.0,36.0,14.85,622.66,2,3.0,3,10.463131911491967,1
24000.0,60.0,11.99,533.75,2,10.0,1,12.154784614286667,1
18000.0,36.0,11.48,593.4,1,10.0,1,12.301387370778713,2
15000.0,36.0,7.26,464.95,0,10.0,3,11.225256725762893,2
24000.0,60.0,9.17,500.19,1,10.0,1,11.59518724713726,1
1150.0,36.0,16.55,40.75,3,6.0,3,10.404293143019792,0
2000.0,36.0,10.64,65.14,1,5.0,1,11.472113887062386,3
35000.0,60.0,16.99,869.66,3,10.0,1,11.20923595437263,2
35000.0,36.0,17.86,1262.88,3,1.0,1,11.461642696843066,2
11000.0,36.0,10.64,358.26,1,4.0,1,11.082157933374816,3
8000.0,36.0,9.99,258.1,1,10.0,1,11.373674891823535,2
15000.0,36.0,9.76,482.32,1,10.0,3,11.472113887062386,2
24000.0,36.0,11.99,797.03,2,5.0,3,11.225256725762893,1
10000.0,60.0,13.67,230.98,2,2.0,1,10.896757843893464,1
4000.0,36.0,9.17,127.52,1,1.0,3,9.952325334619427,2
21000.0,60.0,13.67,485.05,2,0.0,3,11.918397239722838,1
15600.0,60.0,13.18,356.39,2,3.0,3,11.082157933374816,2
5000.0,36.0,12.59,167.49,2,5.0,2,10.404293143019792,2
9650.0,36.0,9.99,311.34,1,10.0,2,10.043292972227004,2
5000.0,36.0,11.99,166.05,2,,1,10.596659732783579,1
15175.0,60.0,16.55,373.48,3,,2,10.404293143019792,2
10000.0,36.0,9.76,321.55,1,4.0,1,10.883710371704016,1
1000.0,36.0,13.67,34.02,2,5.0,3,11.445256716445408,8
30000.0,36.0,11.49,989.14,1,5.0,1,12.048816314824387,2
7000.0,36.0,14.48,240.88,2,10.0,1,10.545367754151743,8
12800.0,60.0,13.67,295.65,2,1.0,3,11.51293546492023,8
10825.0,36.0,12.59,362.61,2,1.0,3,10.491301994830229,2
10650.0,36.0,14.48,366.48,2,10.0,1,10.491301994830229,2
32000.0,36.0,9.17,1020.13,1,3.0,1,11.156264806643742,1
17525.0,60.0,10.99,380.95,1,10.0,1,11.163382173096926,2
3200.0,36.0,13.67,108.86,2,4.0,3,11.350418300109132,2
15000.0,36.0,6.24,457.97,0,10.0,2,10.522692131883208,1
10200.0,36.0,13.67,346.98,2,8.0,3,10.819798284210286,2
16000.0,60.0,10.64,345.02,1,8.0,3,10.896757843893464,1
35000.0,60.0,19.99,927.1,4,0.0,1,11.51293546492023,1
5000.0,36.0,6.24,152.66,0,8.0,1,10.736418414365374,1
12000.0,36.0,11.22,394.12,1,10.0,3,10.12667110305036,1
14000.0,36.0,5.32,421.61,0,,2,11.06665398721974,3
6000.0,36.0,7.26,185.98,0,0.0,1,11.320565693461432,3
25000.0,36.0,9.17,796.98,1,10.0,1,11.849404844423074,2
8000.0,36.0,5.32,240.92,0,8.0,3,11.571203807011969,1
12000.0,36.0,5.32,361.38,0,10.0,1,11.082157933374816,1
10000.0,36.0,6.24,305.31,0,10.0,1,11.695255355062795,1
2800.0,36.0,13.18,94.59,2,0.0,3,10.859018228147885,5
24000.0,36.0,13.44,813.76,2,,1,11.39640288460621,1
15000.0,60.0,11.99,333.6,2,2.0,1,10.633472802314019,2
11000.0,60.0,18.99,285.29,4,10.0,3,10.915106645867501,7
19000.0,60.0,13.67,438.86,2,10.0,2,10.545367754151743,3
10000.0,36.0,14.33,343.39,2,1.0,3,10.463131911491967,2
13200.0,36.0,9.17,420.81,1,1.0,1,11.49273296168228,1
30000.0,36.0,12.59,1004.91,2,4.0,1,11.982935344196433,2
24775.0,36.0,14.48,852.54,2,10.0,2,10.985309671896763,2
15000.0,36.0,9.17,478.19,1,2.0,3,10.87806606028079,2
34425.0,36.0,17.86,1242.13,3,3.0,3,11.314486721293981,1
15000.0,36.0,5.32,451.73,0,2.0,3,11.277215789596891,2
5725.0,36.0,18.49,208.39,4,6.0,3,10.203629181337648,2
10000.0,60.0,12.59,225.44,2,5.0,3,10.308985993422082,1
30000.0,60.0,12.59,676.32,2,0.0,1,11.736077016252437,3
19100.0,60.0,18.49,490.13,4,7.0,1,11.068605176893387,2
6000.0,36.0,9.99,193.58,1,,3,10.859018228147885,1
3600.0,36.0,6.99,111.15,0,10.0,1,11.918397239722838,2
8000.0,36.0,11.99,265.68,2,4.0,3,10.434145214930487,8
7550.0,36.0,18.99,276.72,4,,1,10.463131911491967,2
28000.0,60.0,18.99,726.19,4,4.0,1,11.461642696843066,2
22000.0,60.0,7.89,444.93,0,6.0,3,11.626263078808801,2
7000.0,36.0,12.59,234.48,2,4.0,1,11.51293546492023,2
27500.0,36.0,7.26,852.4,0,10.0,1,11.39640288460621,1
15000.0,36.0,7.89,469.29,0,8.0,1,10.859018228147885,1
18675.0,60.0,28.99,592.67,6,8.0,1,10.703266939811954,2
19200.0,36.0,15.77,672.84,3,6.0,3,10.596659732783579,1
10000.0,36.0,8.49,315.63,1,0.0,1,11.51293546492023,8
8000.0,36.0,6.24,244.25,0,1.0,1,11.06665398721974,1
4000.0,36.0,9.76,128.62,1,10.0,1,10.481560525250607,2
24000.0,60.0,16.55,590.68,3,10.0,1,11.918397239722838,3
4000.0,36.0,11.99,132.84,2,,2,11.156264806643742,6
6000.0,36.0,5.32,180.69,0,,2,10.308985993422082,1
14400.0,60.0,17.86,364.57,3,4.0,1,11.775297421715825,2
35000.0,36.0,9.76,1125.42,1,1.0,1,11.695255355062795,2
20400.0,60.0,14.48,479.77,2,0.0,3,11.849404844423074,1
6000.0,36.0,12.59,200.99,2,2.0,3,10.859018228147885,1
15000.0,36.0,6.24,457.97,0,10.0,1,11.225256725762893,1
12800.0,36.0,11.22,420.4,1,6.0,2,10.645448706505872,2
23800.0,60.0,13.18,543.72,2,10.0,3,11.112462823634855,2
10000.0,36.0,11.99,332.1,2,10.0,3,11.695255355062795,6
11000.0,60.0,13.67,254.08,2,,3,10.434145214930487,2
11200.0,60.0,9.17,233.42,1,10.0,3,11.884495917930654,2
13500.0,60.0,18.49,346.42,4,4.0,3,10.203629181337648,2
10000.0,36.0,13.18,337.81,2,4.0,3,11.156264806643742,1
16000.0,60.0,10.64,345.02,1,10.0,1,11.002116507732017,2
2800.0,36.0,14.48,96.36,2,10.0,3,11.58525542883217,2
10000.0,60.0,14.85,237.12,2,10.0,1,10.714439990727769,2
20000.0,60.0,11.22,437.05,1,10.0,1,11.695255355062795,2
10000.0,36.0,9.76,321.55,1,10.0,3,11.002116507732017,7
19800.0,36.0,7.26,613.73,0,10.0,3,11.418625774449596,2
4950.0,36.0,9.76,159.17,1,6.0,3,10.645448706505872,2
16000.0,36.0,10.64,521.1,1,10.0,1,10.757924157061597,2
10000.0,36.0,9.76,321.55,1,3.0,2,11.813037464800539,3
5000.0,36.0,13.67,170.09,2,0.0,3,10.87806606028079,2
3500.0,36.0,11.99,116.24,2,,3,10.12667110305036,1
18900.0,60.0,18.2,482.0,4,10.0,3,10.714439990727769,2
3600.0,36.0,11.99,119.56,2,2.0,1,11.326607934898927,8
9000.0,36.0,10.99,294.61,1,6.0,1,11.06665398721974,1
4800.0,36.0,11.99,159.41,2,10.0,1,10.590271530797477,2
29900.0,60.0,26.06,896.29,5,10.0,3,11.082157933374816,2
31325.0,60.0,18.49,803.83,4,10.0,1,11.49273296168228,2
16000.0,36.0,13.18,540.5,2,10.0,3,11.156264806643742,2
16000.0,36.0,11.99,531.36,2,4.0,1,10.545367754151743,2
7500.0,36.0,9.76,241.16,1,5.0,3,11.0186455364637,2
18650.0,60.0,14.48,438.61,2,1.0,3,11.211833885608513,2
12000.0,36.0,7.89,375.43,0,8.0,3,10.714439990727769,1
1000.0,36.0,16.55,35.43,3,,2,10.915106645867501,3
20000.0,36.0,9.17,637.58,1,8.0,1,10.77897712300635,2
1000.0,36.0,15.41,34.87,3,10.0,3,10.635879484421974,9
30000.0,36.0,11.99,996.29,2,10.0,1,11.775297421715825,2
35000.0,60.0,14.48,823.13,2,6.0,1,11.849404844423074,4
